nama_wilayah,kode_kemendagri
Blitar,3505
Wonodadi,350501
Udanawu,350502
Srengat,350503
Kademangan,350504
Bakung,350505
Ponggok,350506
Sanankulon,350507
Wonotirto,350508
Nglegok,350509
Kanigoro,350510
Garum,350511
Sutojayan,350512
Panggungrejo,350513
Talun,350514
Gandusari,350515
Binangun,350516
Wlingi,350517
Doko,350518
Kesamben,350519
Wates,350520
Selorejo,350521
Selopuro,350522
